    2112,  -0.020204,   0.139718,   0.946774
    2128,  -0.015443,   0.144723,   0.927486
    2143,  -0.028993,   0.146798,   0.913203
    2160,  -0.030092,   0.147653,   0.911005
    2177,  -0.031191,   0.151682,   0.908564
    2193,  -0.033144,   0.159128,   0.909418
    2210,  -0.030214,   0.154856,   0.910395
    2227,  -0.024110,   0.157175,   0.928462
    2243,  -0.035586,   0.168040,   0.960325
    2260,  -0.034487,   0.162180,   0.960203
    2276,  -0.037905,   0.158274,   0.957639
    2294,  -0.028383,   0.166697,   0.942868
    2309,  -0.012269,   0.162791,   0.930294
    2327,  -0.015199,   0.148141,   0.920771
    2344,  -0.021058,   0.144235,   0.930782
    2360,  -0.023378,   0.137398,   0.939938
    2378,  -0.025697,   0.132882,   0.949948
    2393,  -0.018983,   0.139230,   0.952634
    2410,  -0.013734,   0.139108,   0.950803
    2427,  -0.021181,   0.152048,   0.952634
    2444,  -0.010316,   0.155466,   0.954099
    2461,  -0.007386,   0.161204,   0.951779
    2476,  -0.010926,   0.152536,   0.947995
    2494,  -0.008851,   0.154611,   0.951535
    2511,  -0.011536,   0.154367,   0.948972
    2527,  -0.013001,   0.153391,   0.951413
    2545,  -0.011903,   0.145944,   0.951047
    2561,  -0.014832,   0.145944,   0.952268
    2577,  -0.019471,   0.140084,   0.949704
    2592,  -0.018739,   0.140328,   0.949582
    2611,  -0.010682,   0.142770,   0.945065
    2628,  -0.015443,   0.141183,   0.945065
    2644,  -0.014466,   0.149484,   0.937008
    2661,  -0.018739,   0.153635,   0.937252
    2677,  -0.013368,   0.150461,   0.941159
    2693,  -0.019960,   0.157541,   0.953855
    2711,  -0.026796,   0.161448,   0.954831
    2727,  -0.016419,   0.159861,   0.944577
    2744,  -0.022523,   0.144357,   0.931392
    2760,  -0.024843,   0.137765,   0.926265
    2778,  -0.026552,   0.132149,   0.920405
    2794,  -0.020082,   0.131905,   0.923701
    2811,  -0.016175,   0.138986,   0.927486
    2827,  -0.020936,   0.143625,   0.949338
    2843,  -0.021791,   0.151804,   0.958738
    2862,  -0.020692,   0.153635,   0.964231
    2877,  -0.022767,   0.149484,   0.957761
    2893,  -0.017762,   0.150461,   0.946896
    2911,  -0.016053,   0.147653,   0.927852
    2926,  -0.010804,   0.150583,   0.930660
    2945,  -0.018861,   0.143991,   0.936642
    2961,  -0.023866,   0.134835,   0.943600
    2976,  -0.027040,   0.142404,   0.947262
    2992,  -0.024721,   0.134591,   0.952512
    3012,  -0.024721,   0.131417,   0.950070
    3028,  -0.023988,   0.132515,   0.944821
    3045,  -0.027162,   0.149973,   0.936520
    3065,  -0.022157,   0.152292,   0.933712
    3076,  -0.018006,   0.153635,   0.934566
    3092,  -0.022157,   0.154245,   0.941891
    3111,  -0.024965,   0.149240,   0.953366
    3127,  -0.029604,   0.145211,   0.957151
    3145,  -0.029848,   0.145456,   0.956662
    3161,  -0.028505,   0.146188,   0.957761
    3178,  -0.023622,   0.142648,   0.954709
    3194,  -0.009339,   0.134957,   0.943600
    3211,  -0.020570,   0.134225,   0.931514
    3229,  -0.020448,   0.134591,   0.929561
    3244,  -0.015321,   0.145578,   0.937862
    3261,  -0.025209,   0.138619,   0.934566
    3279,  -0.027895,   0.142770,   0.941525
    3294,  -0.019960,   0.144967,   0.940792
    3310,  -0.023378,   0.146188,   0.938961
    3328,  -0.031801,   0.151804,   0.938473
    3345,  -0.033144,   0.135812,   0.937252
    3361,  -0.034609,   0.140573,   0.940304
    3378,  -0.026552,   0.139474,   0.936397
    3393,  -0.025819,   0.146188,   0.938107
    3411,  -0.016542,   0.143014,   0.934811
    3427,  -0.026918,   0.146432,   0.946896
    3445,  -0.024599,   0.145944,   0.945187
    3461,  -0.023622,   0.150583,   0.947018
    3478,  -0.026308,   0.143380,   0.945431
    3497,  -0.030947,   0.143258,   0.943478
    3512,  -0.028505,   0.138863,   0.932857
    3527,  -0.029482,   0.142526,   0.926998
    3546,  -0.023134,   0.145944,   0.924312
    3563,  -0.022279,   0.151071,   0.929683
    3577,  -0.023378,   0.150217,   0.934322
    3592,  -0.026918,   0.155466,   0.943112
    3613,  -0.027895,   0.151804,   0.949582
    3628,  -0.028749,   0.146432,   0.956418
    3644,  -0.024721,   0.143258,   0.958982
    3660,  -0.018617,   0.141061,   0.945920
    3678,  -0.021913,   0.143747,   0.949094
    3694,  -0.017640,   0.135689,   0.932613
    3712,  -0.010926,   0.142404,   0.926753
    3729,  -0.017396,   0.144601,   0.926875
    3747,  -0.019227,   0.146554,   0.940792
    3763,  -0.018617,   0.152048,   0.941159
    3779,  -0.018495,   0.152780,   0.942868
    3795,  -0.020204,   0.150827,   0.941647
    3814,  -0.019227,   0.151071,   0.946774
    3827,  -0.032167,   0.146798,   0.953977
    3845,  -0.026186,   0.146676,   0.951535
    3862,  -0.028871,   0.147165,   0.947018
    3879,  -0.020814,   0.150949,   0.939938
    3895,  -0.011536,   0.149973,   0.930416
    3913,  -0.015809,   0.141915,   0.946530
    3928,  -0.020204,   0.141671,   0.960935
    3944,  -0.026552,   0.139474,   0.958249
    3960,  -0.014344,   0.142038,   0.955320
    3978,  -0.018495,   0.145089,   0.952512
    3994,  -0.016542,   0.151071,   0.946652
    4009,  -0.014222,   0.158030,   0.940426
    4031,  -0.009949,   0.155100,   0.939694
    4044,  -0.009827,   0.151193,   0.940548
    4060,  -0.014710,   0.153513,   0.939571
    4081,  -0.019471,   0.142038,   0.941036
    4094,  -0.024355,   0.139230,   0.944821
    4112,  -0.029116,   0.142160,   0.947873
    4127,  -0.025209,   0.139230,   0.943600
    4147,  -0.021791,   0.144845,   0.934200
    4162,  -0.024843,   0.147531,   0.928951
    4179,  -0.026430,   0.157053,   0.929195
    4197,  -0.020326,   0.153024,   0.936153
    4213,  -0.012513,   0.155466,   0.945187
    4229,  -0.022401,   0.157053,   0.945309
    4245,  -0.022890,   0.153513,   0.944943
    4263,  -0.020570,   0.144601,   0.946286
    4279,  -0.019349,   0.130074,   0.950436
    4295,  -0.018251,   0.129830,   0.943356
    4312,  -0.015687,   0.132027,   0.947140
    4329,  -0.018983,   0.138253,   0.946042
    4345,  -0.017640,   0.149850,   0.938717
    4362,  -0.021058,   0.148263,   0.941036
    4379,  -0.023622,   0.148141,   0.942379
    4394,  -0.020936,   0.145089,   0.945187
    4414,  -0.029238,   0.146188,   0.943112
    4428,  -0.025942,   0.145578,   0.944332
    4445,  -0.026552,   0.148019,   0.946652
    4461,  -0.022279,   0.153391,   0.948361
    4477,  -0.023500,   0.154001,   0.946286
    4497,  -0.020570,   0.153513,   0.939938
    4512,  -0.014344,   0.147043,   0.938229
    4529,  -0.012635,   0.142160,   0.935299
    4546,  -0.021669,   0.131661,   0.932125
    4562,  -0.020814,   0.129219,   0.933956
    4581,  -0.018495,   0.136910,   0.945065
    4595,  -0.023622,   0.138131,   0.944332
    4614,  -0.024599,   0.139718,   0.938473
    4630,  -0.011414,   0.145089,   0.939694
    4646,  -0.018373,   0.151438,   0.944332
